Дата торгов,BR,SBER,SNGS,Si
2015-06-01,0.43212798182506623,0.01930318660801872,0.39529797703663205,0.0
2015-06-02,0.4326959485043544,0.018638650675611518,0.38819026790595945,0.0025877381025295465
2015-06-03,0.4279628928436198,0.01689819942406881,0.38162930563149255,0.006691370123108942
2015-06-04,0.4154676258992806,0.01246795987468749,0.38395297977036624,0.030547559257671275
2015-06-05,0.4022150700492238,0.011138888009873088,0.38326954620010933,0.0477736265082378
2015-06-08,0.4108292313517607,0.007942786620676517,0.38408966648441767,0.04429778893856795
2015-06-09,0.4198220371071563,0.006265624505553569,0.3812192454893384,0.04025540515710169
2015-06-10,0.43676637637258614,0.012404670738267731,0.3825861126298523,0.019032890304403693
2015-06-11,0.4333585762968573,0.012373026170057894,0.3746582832148715,0.01995161389110056
2015-06-15,0.4219992427110943,0.012214803329008567,0.39119737561509005,0.026260182519752484
2015-06-16,0.40836804240817876,0.015569127559254409,0.4211317659923456,0.0358761560605132
2015-06-17,0.4252177205603938,0.019651276858327238,0.434800437397485,0.03475837569669871
2015-06-18,0.42067398712608867,0.019398120312648315,0.42454893384363046,0.026015189563299956
2015-06-19,0.4175501703900038,0.015347615581785351,0.4343903772553308,0.03383965211000173
2015-06-22,0.41139719803104885,0.014746368785797909,0.4589939857845817,0.029322594475408748
2015-06-23,0.4162249148049982,0.0144299231036992,0.45024603608529246,0.03716236908188886
2015-06-24,0.42635365391897,0.014334989399069659,0.4421815199562602,0.03556991486494754
2015-06-25,0.41584627035213934,0.013955254580551218,0.44013121924548937,0.04235315734672618
2015-06-26,0.41215448693676643,0.010505996645675753,0.4301530891197375,0.04806455564402523
2015-06-29,0.4063801590306702,0.008037720325306141,0.41962821213778023,0.05302566301218836
2015-06-30,0.4079893979553199,0.012784405556786144,0.417851284855112,0.05798677038035149
2015-07-01,0.41168118137069293,0.014145121989810439,0.41853471842536893,0.05339315244686704
2015-07-02,0.407042786823173,0.010252840099996802,0.417851284855112,0.05627181968518402
2015-07-03,0.3989965921999243,0.009841460713268552,0.4110169491525423,0.056853677956758664
2015-07-06,0.37466868610374865,0.006297269073763462,0.4044559868780755,0.06751087156244251
2015-07-07,0.35232866338508145,0.004715040663270137,0.3969382176052486,0.0808476756293256
2015-07-08,0.3545058689890193,0.0,0.3689174412247128,0.07775463955411277
2015-07-09,0.3645399469897766,0.0035441916395050344,0.36659376708583924,0.07515158939180488
2015-07-10,0.37211283604695194,0.010157906395367206,0.36618370694368507,0.06887364488270953
2015-07-13,0.3647292692162059,0.015157748172526159,0.3808091853471842,0.06847553132847428
2015-07-14,0.3602801968951154,0.017720958197525366,0.3712411153635866,0.07006798554541549
2015-07-15,0.36539189700870883,0.019429764880858208,0.3831328594860579,0.06884302076315296
2015-07-16,0.36065884134797427,0.020885415018512044,0.4081465281574631,0.07006798554541549
2015-07-17,0.36141613025369185,0.02306889022499284,0.42154182613449975,0.07126232620812145
2015-07-20,0.3545058689890193,0.02310053479320273,0.4004920721705849,0.07092546089299923
2015-07-21,0.3538432411965165,0.023227113066042165,0.39420448332422087,0.07077234029521651
