Дата торгов,BR,SBER,SNGS,Si
2015-06-02,0.0009216589861751502,-0.002857142857142772,-0.008078297343483037,0.003167285130627085
2015-06-03,-0.007673419275629221,-0.0075044344385320145,-0.007517619420516899,0.005006818988547835
2015-06-04,-0.0204144757191462,-0.019246631839427986,0.0026826574088685768,0.028961799423738267
2015-06-05,-0.022102936532996616,-0.005887300252312892,-0.000786905886055983,0.02032410167470598
2015-06-08,0.014691637068130509,-0.014241398759165328,0.0009450307134981126,-0.004019264138248522
2015-06-09,0.015115354017501921,-0.007581175797453886,-0.003304484657749705,-0.004693249897779595
2015-06-10,0.0280564263322885,0.02796194868838279,0.0015787811809282336,-0.024755746869809064
2015-06-11,-0.005488641561213591,-0.00014021312394827407,-0.009142496847414854,0.0010988809728759547
2015-06-15,-0.01839644335428488,-0.0007011639321272915,0.01924912503977082,0.007537366678253233
2015-06-16,-0.022489458066531277,0.014875105248386023,0.034181364132979744,0.011403046865069998
2015-06-17,0.028439047771209473,0.01783738938053106,0.015092061575611227,-0.0013105689305398466
2015-06-18,-0.0074568898555228205,-0.0010868088574921655,-0.011150758251561105,-0.010264614942115481
2015-06-19,-0.005165127562998878,-0.017407860737114117,0.010825439783491186,0.009281290299144523
2015-06-22,-0.010226557583385866,-0.0026297577854670967,0.026773761713520704,-0.005308810826374892
2015-06-23,0.00810681926561763,-0.0013877324451846867,-0.009271331305229618,0.009263112188591174
2015-06-24,0.01687164932198034,-0.0004168982768202742,-0.008626992250329046,-0.0018643004391861611
2015-06-25,-0.0172119708481934,-0.001668288613930273,-0.0022123893805308477,0.007956035272355022
2015-06-26,-0.006153360681603038,-0.015178944436708027,-0.010790835181079142,0.006645998146960303
2015-06-29,-0.00968407683759326,-0.011029411764705899,-0.011506276150627555,0.005734817777935112
2015-06-30,0.0027252324462968035,0.021446954532456392,-0.001965230536659254,0.005702117174988121
2015-07-01,0.006235011990407683,0.006019036954087442,0.000757346258709439,-0.005249803132382535
2015-07-02,-0.0077851922465839675,-0.017114234033671964,-0.0007567731194187553,0.0033072389831999296
2015-07-03,-0.013610888710968798,-0.0018403171007926875,-0.00757346258709482,0.0006662809250784634
2015-07-06,-0.04172077922077923,-0.01588427173450581,-0.00732600732600717,0.01219533563456046
2015-07-07,-0.03997967135354903,-0.007205649228995532,-0.008456334563345807,0.01507781259196427
2015-07-08,0.004058584789129996,-0.021628683408332048,-0.031787874089006005,-0.003444865104539718
2015-07-09,0.018629173989455225,0.016617210682492438,-0.002722613709160708,-0.002909165582859881
2015-07-10,0.013802622498274623,0.030502043199066017,-0.0004817729243616691,-0.007036693783681735
2015-07-13,-0.013274336283185861,0.022376433932870674,0.01719151670951157,-0.000449391592920354
2015-07-14,-0.008106243532252482,0.011220390635822168,-0.011056705101879684,0.0017983745460833477
2015-07-15,0.009389671361502334,0.007397260273972688,0.013895543842836568,-0.0013808816929609556
2015-07-16,-0.008613264427217916,0.006255099265705653,0.02882797731569007,0.0013827911639644622
2015-07-17,0.0013900955690704674,0.009324324324324293,0.015005359056806063,0.0013463596506369316
2015-07-20,-0.012667013708138192,0.00013388673182494466,-0.023231256599788898,-0.0003792318830586775
2015-07-21,-0.0012302284710017624,0.0005354752342703084,-0.007104247104247008,-0.0001724435247456458
2015-07-22,-0.0035192679922575357,0.006422263848006476,-0.006221807435059973,0.0025698516729906863
2015-07-23,-0.007063393960798263,-0.02166976867854288,-0.006573798716544087,0.006244731545356019
2015-07-24,-0.01938467010492613,-0.027857045794265484,-0.005671971009925941,0.012788073582712165
2015-07-27,-0.018498367791077313,-0.040536762650265665,-0.01077483758516875,0.016188386225523294
2015-07-28,-0.019955654101995533,0.010635198135198193,0.026429601153291665,0.015996943470821774
2015-07-29,0.006221719457013543,0.01701023497188976,0.006398252184768986,-0.009989862986821883
2015-07-30,0.00843170320404727,0.021261516654854713,0.01597146844472013,-0.0059288863932883025
2015-07-31,-0.01505016722408031,-0.009160305343511404,0.02670940170940171,0.020550903774587986
2015-08-03,-0.032823995472552256,-0.004902647429611911,0.012338338040731357,0.030278858519591723
2015-08-04,-0.02457577530719729,0.011120495495495382,-0.0001468428781202776,0.008074072903664143
2015-08-05,0.006598680263947319,0.02116107475984959,-0.001909237773535169,-0.0018025078369905956
2015-08-06,-0.018673023440603988,-0.005998636673483269,0.0013243084167157654,0.017382429143440372
2015-08-07,-0.0032388663967610645,0.010972431765189921,-0.0002939015429830422,0.0027472527472527475
2015-08-10,-0.0030463038180340895,0.01003934337267683,0.0033808613846832863,-0.004448206864706788
2015-08-11,0.016704013037278326,-0.0009402283411686687,0.022414298271315573,-0.00545755322273929
2015-08-12,-0.011019835704267626,-0.013444474321054048,-0.016048144433299962,0.015700783484641215
2015-08-13,0.00506482982171799,0.0054510765876261335,0.013397407892820762,-0.0041170528635709695
2015-08-14,-0.01088490223745211,0.006234751965302165,0.007903434401494427,0.004625858703837465
2015-08-17,-0.0028530670470756176,-0.011179956896551702,0.009694895922440726,0.009224414869206058
2015-08-18,-0.006131207847945987,-0.010216591744993871,-0.006354137249364426,0.004683734254922469
